"","pre_vote_intention","pre_vote_preference","pre_feel_clinton","pre_feel_trump","pre_feel_dem","pre_feel_rep","pre_ideo_self","pre_guaranteed_job","pre_birthright_citizenship","pre_help_blacks","pre_wall_mexico","pre_enviroment","pre_troops_isis","pre_syrian_refugee","pre_climate","pre_paid_leave","post_equal_pay","post_vaccine","post_freetrade","post_bank_regulation","post_healthcare","post_feel_clinton","post_feel_trump","post_feel_christian_fundamentalists","post_feel_feminists","post_feel_liberals","post_feel_labor_unions","post_feel_poor_people","post_feel_big_business","post_feel_conservatives","post_feel_the_u.s._supreme_court","post_feel_gay_men_and_lesbians","post_feel_congress","post_feel_rich_people","post_feel_muslims","post_feel_christians","post_feel_jews","post_feel_tea_party","post_feel_police","post_feel_transgender_people","post_feel_scientists","post_feel_black_lives_matter","pre_budget_sec","pre_budget_school","pre_budget_sci","pre_budget_crime","pre_budget_welfare","pre_budget_childcare","pre_budget_poverty","pre_budget_env","religion_importance","age","edu_num","race","gender","income_group","weight"
"2253","Yes","Trump",15,55,40,55,5,7,3,2,6,3,2,6,2,1,2,2,4,5,7,15,30,30,30,40,30,50,50,70,50,50,30,60,30,50,70,50,100,50,100,15,-1,1,1,0,-1,0,-1,0,0,38,14,"White, non-Hispanic","Male",28,0.671
"2254","Yes","Trump",40,80,70,70,3,4,4,5,6,4,4,7,2,1,1,1,3,4,6,70,30,70,60,85,72,60,100,40,70,85,50,60,40,100,100,50,70,40,100,70,0,1,0,0,-1,1,0,1,1,39,13,"White, non-Hispanic","Female",11,0.415
"2255","Yes",NA,51,16,85,15,4,3,6,7,2,1,3,3,1,1,4,2,1,6,4,50,60,50,40,85,85,70,50,50,50,50,50,50,60,50,85,50,50,50,70,50,0,1,1,0,1,1,1,1,0,35,10,"Black, non-Hispanic","Male",24,1.235
"2256","No",NA,0,0,30,50,5,6,4,4,6,6,4,6,4,4,6,7,4,7,4,0,30,100,15,40,70,85,60,70,NA,50,40,50,50,100,70,70,60,50,30,40,-1,1,1,-1,-1,-1,-1,1,1,20,12,"White, non-Hispanic","Male",26,2.055
"2257","Yes",NA,86,2,52,51,4,1,7,7,4,1,4,4,1,4,2,3,1,4,1,93,3,31,61,51,46,93,31,36,44,45,46,51,51,42,51,51,31,51,56,51,1,0,1,-1,1,0,1,1,1,51,5,"Hispanic","Male",3,1.372
"2258","Yes","Trump",50,60,75,65,5,4,1,2,6,99,4,7,3,6,1,6,4,2,4,30,85,31,76,39,30,75,39,72,70,81,44,74,75,75,85,51,70,76,73,52,1,0,0,1,0,0,1,1,1,71,12,"White, non-Hispanic","Female",17,0.75
"2259","Yes",NA,3,1,0,5,4,1,3,7,4,5,7,2,4,1,1,1,4,1,3,40,42,48,85,90,80,85,50,75,85,90,47,80,100,100,100,70,100,60,100,0,1,1,0,1,0,0,0,-1,1,25,16,"White, non-Hispanic","Male",1,0.433
"2260","Yes","Clinton",85,0,85,0,1,1,6,7,1,1,6,1,1,1,1,4,4,1,2,100,0,15,85,100,70,85,30,0,40,85,40,40,85,85,85,0,60,85,85,60,1,0,0,0,1,1,1,1,1,70,14,"White, non-Hispanic","Female",12,0.426
"2261","Yes","Clinton",75,20,65,35,2,99,6,7,3,3,4,2,1,2,1,1,4,4,2,90,20,NA,70,96,NA,70,40,45,NA,99,60,45,70,70,70,NA,90,95,98,85,0,1,1,0,0,0,0,1,0,38,13,"White, non-Hispanic","Female",12,0.346
"2262","Yes","Clinton",70,0,70,50,4,3,5,4,3,4,4,6,4,1,2,2,4,4,4,70,0,50,70,50,50,50,50,50,50,70,50,40,50,70,50,50,70,70,70,40,1,1,1,1,0,1,1,0,1,28,12,"White, non-Hispanic","Female",20,0.387
"2263","No",NA,30,30,30,60,5,5,4,4,5,4,6,4,5,5,2,1,2,4,4,30,45,70,40,45,40,80,50,55,60,50,50,70,50,90,55,50,60,40,75,50,0,-1,-1,-1,0,0,0,-1,1,32,14,"White, non-Hispanic","Male",25,0.835
"2264","Yes","Clinton",65,60,40,60,5,6,4,4,6,5,5,5,4,1,4,2,2,6,5,61,53,23,62,30,80,69,83,49,62,60,52,49,60,52,80,41,83,61,67,16,0,1,1,0,-1,-1,-1,0,0,33,13,"White, non-Hispanic","Male",28,0.842
"2265","Yes","Trump",0,100,0,85,3,1,4,1,1,7,2,7,4,4,2,6,4,7,2,2,98,62,2,48,46,48,NA,7,93,2,30,7,50,95,50,3,92,19,66,91,1,1,0,1,1,1,1,0,1,58,9,"White, non-Hispanic","Female",1,1.824
"2266","Yes","Clinton",100,0,100,0,3,99,4,7,7,99,1,7,2,4,1,3,4,2,4,100,0,100,85,100,85,100,50,85,85,50,70,85,50,100,85,85,100,50,100,50,1,1,0,1,0,0,0,1,1,79,9,"White, non-Hispanic","Female",11,1.388
"2267","Yes","Trump",30,60,15,60,4,3,1,2,6,5,1,7,4,1,1,1,3,1,2,30,0,30,85,40,50,60,85,60,60,100,50,85,30,60,100,60,85,100,100,15,1,1,1,1,-1,1,-1,0,0,40,14,"White, non-Hispanic","Female",20,0.431
"2268","Yes","Trump",15,50,15,85,6,6,3,4,5,6,2,4,4,6,4,2,1,6,4,18,61,50,32,19,34,50,85,77,69,42,77,72,42,79,50,59,52,30,68,32,-1,0,1,0,-1,0,-1,0,0,66,14,"White, non-Hispanic","Male",21,0.582
"2269","Yes","Clinton",85,0,85,10,1,1,7,7,1,1,7,2,1,1,1,1,3,1,1,85,0,0,85,100,85,70,15,15,60,100,30,60,60,15,85,0,15,100,100,85,1,1,1,0,1,1,1,1,0,69,14,"White, non-Hispanic","Female",13,0.895
"2270","Yes",NA,30,0,0,0,4,7,4,7,7,1,1,7,4,4,1,2,4,1,1,70,0,50,70,50,40,70,60,50,50,85,40,50,40,60,70,50,85,70,60,60,0,1,1,1,-1,1,0,1,1,46,13,"Hispanic","Female",15,0.435
"2271","Yes",NA,31,1,0,60,NA,4,2,4,4,4,4,4,4,4,1,2,7,1,4,70,100,0,85,0,50,50,60,100,70,100,70,70,0,100,0,100,60,50,100,0,1,1,1,1,-1,1,1,1,1,38,11,"White, non-Hispanic","Male",3,0.841
"2272","Yes","Clinton",98,2,99,15,4,4,7,7,4,4,1,4,4,4,4,5,6,6,2,96,3,63,52,53,58,56,55,49,53,54,53,53,56,54,55,54,54,57,53,55,1,1,-1,1,1,1,1,1,0,50,10,"Hispanic","Male",7,0.8
"2273",NA,NA,15,0,0,0,4,1,7,4,5,99,1,4,4,1,1,2,3,4,4,1,5,52,53,53,55,51,55,53,52,53,54,52,51,53,54,53,51,52,53,52,1,1,0,1,-1,0,1,0,1,32,9,"Other","Male",4,2.689
"2274","Yes","Clinton",70,0,75,30,3,4,4,7,3,2,4,4,1,2,1,1,4,1,2,65,10,10,50,85,90,80,20,30,60,60,10,70,70,85,85,20,95,50,95,50,1,1,1,1,0,1,1,1,0,68,14,"White, non-Hispanic","Male",22,1.099
"2275",NA,NA,0,0,50,0,3,2,7,7,1,1,2,1,1,1,2,1,3,1,1,0,0,40,70,70,85,85,15,15,50,85,0,30,85,85,85,15,40,85,100,85,1,1,1,1,1,1,1,1,0,22,9,"Black, non-Hispanic","Female",3,1.637
"2276","Yes","Trump",50,70,40,70,NA,6,1,1,6,6,1,7,4,7,1,4,6,4,1,50,50,50,50,50,50,50,50,50,40,50,50,50,50,50,50,50,50,50,85,50,0,0,0,0,0,0,0,0,1,56,8,"Other","Male",14,0.765
"2277","Yes","Trump",15,70,15,84,6,7,7,2,4,5,4,7,6,1,1,2,1,4,4,17,72,61,55,38,60,59,60,67,72,61,40,67,46,60,70,58,95,51,79,35,1,1,1,1,-1,1,-1,-1,0,55,13,"White, non-Hispanic","Male",22,1.048
"2278",NA,NA,50,51,50,51,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,70,0,0,0,85,70,100,70,30,50,100,50,30,85,0,100,50,70,100,70,15,0,0,0,0,0,0,0,0,1,64,9,"Black, non-Hispanic","Male",1,1.009
"2279","Yes","Clinton",60,0,0,60,NA,4,4,6,99,99,4,7,2,2,2,2,4,4,6,60,85,60,50,50,60,70,60,50,60,50,40,70,50,85,50,50,60,50,70,50,0,1,1,1,0,1,1,0,1,54,9,"White, non-Hispanic","Female",12,1.898
"2280","No",NA,61,32,32,32,5,6,3,6,6,3,4,2,4,4,1,1,4,4,4,40,42,16,51,51,42,51,31,51,50,51,30,50,51,51,51,16,98,50,51,70,0,1,1,0,-1,0,-1,0,1,36,14,"White, non-Hispanic","Female",20,0.352
"2281","Yes","Clinton",85,0,85,0,NA,1,6,6,1,1,4,6,1,4,4,6,2,6,2,70,4,85,83,32,68,90,70,62,70,52,69,50,66,96,68,60,15,52,80,100,1,1,1,1,1,1,1,1,1,20,13,"Black, non-Hispanic","Female",15,0.335
"2282",NA,NA,0,30,0,60,4,6,7,2,3,7,2,7,7,7,7,1,1,7,6,1,30,40,31,16,1,69,70,60,85,71,51,86,41,60,86,70,87,70,99,0,0,1,1,1,-1,0,-1,-1,0,69,15,"White, non-Hispanic","Male",21,0.43
"2283",NA,NA,70,15,70,20,3,5,4,7,3,2,4,4,1,2,1,1,1,5,2,61,2,1,75,59,49,99,70,41,99,100,1,99,98,50,99,4,69,100,99,67,0,1,1,0,0,0,0,1,0,27,15,"White, non-Hispanic","Male",27,1.34
"2284","Yes","Trump",15,51,1,31,4,99,2,1,99,99,7,7,4,4,1,1,1,4,6,15,60,50,50,40,50,50,50,50,50,50,30,50,40,50,50,40,85,50,70,50,1,0,-1,0,-1,-1,0,0,0,86,9,"White, non-Hispanic","Female",9,1.385
"2285","Yes","Clinton",71,1,61,2,4,7,4,7,3,3,1,4,6,2,1,2,7,4,4,95,1,54,10,51,99,98,2,51,4,51,2,1,70,92,44,2,88,50,93,86,1,1,0,1,0,0,0,1,0,57,9,"White, non-Hispanic","Female",20,1.545
"2286","Yes","Trump",30,70,40,60,NA,2,1,6,7,2,2,7,1,1,1,1,4,4,1,40,70,50,70,50,50,40,50,50,60,85,60,40,15,40,50,50,100,85,60,0,1,1,0,1,-1,0,1,1,0,30,12,"White, non-Hispanic","Female",5,0.835
"2287","No",NA,51,51,62,31,4,4,6,6,4,99,4,6,6,1,3,2,3,6,6,15,30,4,19,64,60,70,54,53,59,4,32,0,60,84,54,53,99,3,85,22,1,1,1,1,0,1,1,1,1,40,10,"Black, non-Hispanic","Female",7,0.697
"2288","Yes","Clinton",94,0,72,7,2,5,6,7,2,2,7,2,1,2,2,1,4,1,2,99,0,0,85,71,84,85,15,0,62,100,4,18,100,9,100,0,85,100,100,40,0,1,1,0,0,1,1,1,0,36,11,"Hispanic","Male",13,1.97
"2289","Yes","Clinton",80,16,80,30,3,3,2,7,4,2,4,4,1,2,1,1,3,4,4,75,25,30,70,85,60,60,60,50,60,70,40,50,70,70,85,30,70,70,100,70,0,1,0,0,1,0,1,0,1,44,14,"White, non-Hispanic","Male",28,0.842
"2290","Yes","Clinton",70,15,70,30,4,4,1,4,4,4,4,4,2,4,2,1,4,4,2,71,50,60,60,60,50,85,40,40,50,50,40,40,50,85,70,50,85,30,85,50,0,0,0,0,0,0,0,0,1,55,5,"Native American or Alaska Native, non-Hispanic","Female",15,1.984
"2291",NA,NA,30,0,40,15,2,3,7,7,3,3,6,5,2,1,1,1,2,1,1,40,0,30,30,50,70,50,0,40,50,60,30,40,50,40,50,50,70,60,70,0,1,1,1,0,1,0,1,1,0,33,13,"White, non-Hispanic","Female",13,1.09
"2292","Yes",NA,60,0,60,15,NA,3,2,4,4,3,4,6,1,4,1,1,4,2,4,85,0,50,50,50,60,60,40,50,50,50,30,30,50,50,50,50,85,50,50,50,1,1,1,1,-1,-1,-1,1,0,58,10,"White, non-Hispanic","Female",22,0.994
"2293","Yes","Clinton",85,1,59,48,NA,99,4,6,99,99,4,4,5,4,1,6,4,4,4,94,0,94,53,53,68,80,91,73,59,52,83,76,60,82,52,52,96,51,94,99,0,1,0,0,0,1,1,0,1,31,9,"Black, non-Hispanic","Male",19,2.195
"2294","Yes","Trump",30,85,31,72,4,3,4,4,5,3,4,4,4,5,4,6,2,2,5,18,59,52,3,31,48,84,66,50,47,2,48,53,1,83,4,54,40,1,86,30,0,0,0,1,-1,-1,-1,-1,1,56,10,"White, non-Hispanic","Male",3,1.138
"2295","Yes","Clinton",60,40,85,40,NA,1,4,5,4,1,7,5,2,1,2,6,4,1,2,40,60,51,41,51,61,85,70,61,40,50,30,51,50,100,100,50,85,50,60,0,-1,1,0,1,-1,1,0,1,1,57,10,"Hispanic","Female",18,1.66
"2296","Yes","Clinton",70,30,60,30,4,3,7,7,4,2,6,2,1,2,1,1,2,3,4,40,15,1,51,71,78,85,40,71,41,100,30,70,51,51,100,31,77,100,100,41,0,1,1,0,0,1,0,1,1,28,13,"White, non-Hispanic","Male",11,0.802
"2297","Yes","Clinton",85,0,70,15,2,1,7,7,1,1,4,2,1,1,1,1,4,1,3,93,1,1,99,85,87,82,16,30,35,97,3,14,85,92,91,0,38,93,98,83,1,1,0,1,1,0,1,1,1,37,12,"White, non-Hispanic","Female",21,1.281
"2298","Yes","Trump",30,60,40,50,4,5,6,4,99,5,2,4,6,7,2,1,5,4,6,35,64,47,55,71,61,85,74,61,61,50,65,80,80,85,100,47,100,50,79,70,0,1,1,1,0,0,0,0,1,45,13,"White, non-Hispanic","Male",25,1.643
"2299","Yes","Trump",1,77,1,30,6,7,2,1,99,7,1,7,5,6,4,6,4,6,4,1,70,50,30,0,0,50,50,100,40,50,30,50,0,100,100,50,100,50,50,0,-1,-1,0,1,-1,-1,-1,-1,1,43,12,"Hispanic","Female",1,1.067
"2300","Yes","Clinton",85,0,70,15,3,2,7,7,2,2,4,1,2,1,1,1,2,1,1,100,0,0,100,15,50,50,50,30,100,100,30,50,100,50,100,15,50,100,100,100,1,0,1,0,1,1,1,1,1,37,15,"White, non-Hispanic","Female",24,0.747
"2301","Yes","Clinton",90,0,85,15,3,3,6,7,3,3,4,4,1,2,1,1,2,1,2,100,0,15,70,85,70,85,15,15,60,85,30,70,85,100,100,0,70,85,85,70,1,1,0,1,0,1,0,1,0,66,14,"White, non-Hispanic","Female",23,0.901
"2302","No",NA,15,15,0,14,6,7,6,4,6,6,6,6,4,4,1,1,2,2,4,NA,15,85,NA,40,50,85,70,70,85,70,30,85,50,100,85,40,70,40,50,15,0,0,1,0,-1,0,0,0,1,76,13,"White, non-Hispanic","Female",19,0.745
"2303","Yes","Clinton",85,1,99,52,3,4,7,7,5,4,7,4,2,1,1,1,2,4,4,85,0,60,100,85,85,100,50,0,70,85,15,50,85,70,100,0,70,70,85,85,0,1,1,1,0,1,0,0,1,75,9,"Black, non-Hispanic","Female",4,1.399
"2304","Yes",NA,60,30,64,30,NA,2,4,4,5,1,4,4,1,4,4,7,4,1,7,40,36,29,57,10,17,11,16,15,16,39,5,50,28,28,27,17,42,38,19,52,1,1,1,0,0,0,0,1,1,33,11,"Black, non-Hispanic","Male",7,0.98
"2305","Yes","Trump",0,100,0,70,6,99,1,1,3,4,7,7,4,1,1,2,7,1,4,0,100,15,50,0,70,100,70,85,60,85,60,85,15,100,100,85,100,85,100,30,1,0,0,1,-1,1,0,0,0,72,9,"White, non-Hispanic","Male",23,1.472
"2306","Yes","Clinton",100,0,100,30,NA,99,7,4,99,99,4,4,4,1,1,1,6,4,1,83,2,54,100,50,84,100,55,52,43,97,50,15,96,53,95,61,82,90,80,100,1,1,0,1,0,1,1,0,0,26,13,"Hispanic","Female",8,1.839
"2307","Yes","Clinton",70,40,70,30,3,3,4,4,4,3,7,4,2,4,1,2,2,4,4,71,40,70,60,56,60,60,46,40,60,50,30,50,50,70,70,50,60,50,55,57,1,1,1,0,0,0,0,0,1,72,13,"White, non-Hispanic","Male",7,0.506
"2308",NA,NA,0,0,0,0,3,5,1,4,7,2,6,7,2,1,1,1,2,1,2,26,15,3,91,55,34,85,58,61,71,80,60,51,79,85,87,95,81,73,94,3,1,1,1,1,0,0,0,0,0,38,15,"White, non-Hispanic","Female",27,0.382
"2309","No",NA,16,16,16,16,NA,99,4,4,99,99,4,7,2,1,1,1,4,4,4,16,15,39,71,31,86,93,31,50,51,97,16,60,50,50,98,51,85,99,60,40,1,1,0,1,-1,1,0,1,0,35,10,"White, non-Hispanic","Female",11,0.69
"2310","Yes","Trump",0,70,15,60,NA,4,6,6,7,99,4,7,1,2,1,3,1,6,2,2,86,52,12,52,87,94,87,51,52,81,12,51,41,99,93,52,96,81,90,99,1,1,-1,1,0,0,0,0,1,67,7,"White, non-Hispanic","Female",5,0.962
"2311","Yes","Trump",0,100,0,85,6,6,1,2,6,6,1,7,7,2,1,2,2,6,7,0,100,60,50,15,40,70,85,100,60,50,60,50,30,85,85,85,85,50,60,0,1,1,1,1,-1,-1,-1,-1,1,63,13,"Other","Male",25,0.629
"2312","Yes","Trump",0,100,0,100,4,1,7,1,3,1,1,7,7,2,1,1,2,7,7,1,100,32,31,52,0,70,42,51,80,52,87,40,54,99,51,51,100,52,16,17,1,1,1,1,-1,-1,1,0,1,78,10,"White, non-Hispanic","Female",8,0.732
"2313",NA,NA,0,70,50,70,5,2,1,4,6,2,1,7,4,1,4,1,3,2,4,0,85,50,0,20,70,60,50,70,50,50,50,50,40,60,30,50,50,40,85,0,0,1,1,-1,-1,0,0,1,0,24,10,"White, non-Hispanic","Male",10,0.367
"2314","Yes","Clinton",85,15,85,40,2,4,6,7,4,6,6,2,1,4,1,1,2,1,4,60,1,16,91,84,53,86,47,41,91,86,14,59,70,84,85,17,94,71,90,63,0,0,1,1,0,0,0,1,0,66,13,"White, non-Hispanic","Male",21,0.34
"2315","Yes","Trump",2,99,1,85,6,5,2,1,4,2,1,7,4,1,1,4,6,1,4,1,98,85,1,1,71,100,52,85,50,1,50,31,0,85,100,0,100,51,70,1,1,1,1,1,0,1,1,0,1,57,9,"White, non-Hispanic","Female",9,1.749
"2316","Yes","Clinton",70,15,60,35,4,3,7,4,6,2,4,1,1,2,1,1,2,1,4,65,25,60,70,55,75,55,65,55,60,60,15,55,70,85,80,3,80,65,70,60,1,0,1,1,-1,0,0,1,1,52,9,"White, non-Hispanic","Male",13,0.937
"2317","Yes","Clinton",NA,NA,100,0,NA,7,5,5,7,7,7,7,6,1,1,1,2,1,1,NA,0,100,100,70,40,100,15,60,50,100,NA,15,100,100,100,60,15,100,100,NA,1,1,1,1,1,1,1,1,1,45,7,"Black, non-Hispanic","Female",1,1.054
"2318","Yes","Clinton",79,0,60,30,4,4,2,2,6,2,2,4,1,1,2,1,4,1,2,77,6,50,70,52,51,63,31,39,85,87,81,49,51,90,53,38,84,88,87,18,1,1,1,1,-1,1,0,1,1,39,13,"White, non-Hispanic","Female",14,0.415
"2319","Yes","Trump",0,95,30,60,6,99,1,1,7,99,1,7,4,1,1,2,4,3,6,1,94,60,31,0,85,95,25,49,77,75,60,49,40,80,98,38,100,78,90,0,0,1,1,1,-1,0,1,0,0,35,10,"White, non-Hispanic","Male",21,0.842
"2320",NA,NA,85,16,91,40,NA,99,6,7,4,2,6,7,2,1,1,1,4,2,2,95,0,50,51,50,89,85,60,50,82,51,60,50,85,85,85,50,70,51,70,100,0,1,1,0,0,1,0,0,1,46,7,"Black, non-Hispanic","Female",5,2.043
"2321","Yes","Trump",0,60,0,40,4,7,2,1,7,1,1,7,2,4,1,1,4,4,4,30,72,59,59,60,51,41,72,85,72,51,72,85,52,98,50,NA,99,50,84,51,1,1,1,1,-1,1,-1,1,1,72,11,"White, non-Hispanic","Female",12,0.368
"2322","Yes","Trump",0,70,0,85,6,1,4,2,4,1,1,7,2,2,1,6,6,1,6,48,84,51,71,42,69,82,60,51,73,15,86,50,4,100,60,48,90,0,84,52,1,0,0,1,-1,0,-1,1,1,29,12,"Hispanic","Male",23,1.497
"2323","Yes","Trump",0,85,15,85,6,7,4,4,7,5,2,7,7,4,1,1,2,4,5,0,85,85,0,0,30,100,60,100,70,0,70,100,30,100,85,100,100,0,70,0,1,1,0,1,-1,0,0,-1,1,62,9,"White, non-Hispanic","Female",5,0.655
"2324","Yes","Trump",17,60,41,58,5,5,4,6,4,5,6,7,2,4,1,1,2,4,6,31,51,51,53,48,62,85,62,68,71,81,73,66,53,99,71,57,85,58,74,70,0,0,1,1,-1,0,0,1,1,78,10,"White, non-Hispanic","Female",1,0.359
"2325",NA,NA,85,0,50,50,3,4,4,2,3,1,6,4,2,1,1,6,2,2,1,61,60,53,71,52,18,84,83,56,50,7,56,77,50,51,49,53,21,5,84,50,1,1,0,-1,1,1,1,1,1,26,10,"Black, non-Hispanic","Male",15,0.491
"2326","Yes","Clinton",30,15,60,0,2,1,7,7,1,1,7,1,1,2,1,6,2,1,1,60,10,0,70,80,60,80,0,10,50,90,25,60,80,25,70,0,40,100,90,90,0,1,0,1,1,1,1,1,0,33,13,"White, non-Hispanic","Male",18,0.936
"2327","Yes","Trump",0,85,0,100,4,99,1,1,7,4,1,7,4,2,2,4,4,2,4,0,85,85,50,70,100,70,70,60,85,50,85,60,52,70,50,85,100,50,85,0,0,0,1,1,0,0,0,0,0,52,9,"White, non-Hispanic","Male",19,1.571
"2328","Yes","Trump",0,90,0,75,6,5,5,1,7,1,1,7,1,4,1,1,5,4,6,30,85,40,50,0,70,15,50,100,85,50,60,50,0,70,50,70,85,40,100,0,1,0,1,1,-1,0,0,1,1,69,11,"White, non-Hispanic","Female",13,0.342
"2329","Yes","Clinton",50,0,60,40,5,5,7,4,99,99,4,4,2,1,1,2,3,4,6,60,40,43,46,43,52,79,29,65,75,72,34,60,41,72,51,53,84,64,88,19,-1,0,1,0,-1,0,0,1,0,39,9,"White, non-Hispanic","Male",24,1.53
"2330","Yes","Trump",15,40,40,85,4,4,1,1,7,99,2,6,2,4,2,1,3,6,1,15,60,50,60,50,40,50,50,40,40,60,60,85,15,70,70,50,60,15,85,30,1,1,0,1,-1,0,0,1,1,50,9,"White, non-Hispanic","Female",19,1.304
"2331","Yes","Trump",16,72,31,51,6,7,1,2,6,5,4,7,4,6,1,1,4,6,6,15,70,40,50,30,50,50,70,70,40,70,15,50,40,70,70,50,85,50,50,30,1,1,0,0,-1,0,-1,0,1,59,13,"White, non-Hispanic","Female",26,0.75
"2332","Yes",NA,41,2,51,51,2,5,4,7,1,1,7,1,1,1,1,1,6,1,1,52,1,16,99,95,93,41,51,32,50,100,44,88,98,51,51,50,17,99,99,88,1,1,1,0,1,1,1,1,0,34,13,"Hispanic","Female",11,0.824
"2333","Yes","Trump",0,90,20,70,6,5,2,2,6,1,2,7,1,1,2,2,4,4,4,0,84,52,8,14,50,60,12,74,31,69,14,30,42,65,50,50,97,42,72,0,1,1,1,1,-1,0,-1,1,1,35,12,"White, non-Hispanic","Male",16,0.691
"2334","No",NA,71,1,51,1,4,4,1,2,6,99,1,1,1,2,1,6,2,1,2,70,1,3,40,50,62,100,16,5,50,100,51,41,100,3,100,1,50,100,100,3,1,0,1,0,1,1,0,-1,1,25,9,"White, non-Hispanic","Male",27,2.497
"2335",NA,NA,0,100,0,70,6,6,4,1,4,4,6,7,4,6,1,1,7,4,6,2,93,69,85,16,38,71,56,86,37,79,22,41,57,92,93,17,93,51,85,45,0,1,1,1,-1,0,0,0,1,58,13,"Other","Female",27,1.859
"2336","Yes","Clinton",31,1,15,0,1,1,7,7,1,4,4,1,1,1,1,1,1,1,1,30,0,0,100,30,100,100,0,0,15,100,0,40,100,15,100,0,30,100,30,70,1,1,0,-1,1,1,1,1,0,22,13,"Black, non-Hispanic","Female",1,0.521
"2337","Yes","Clinton",85,15,85,30,2,4,6,2,4,4,6,6,4,6,1,2,3,4,2,100,0,85,85,85,85,85,85,40,85,60,50,50,85,100,60,50,85,50,100,85,1,1,0,-1,1,1,0,1,1,29,11,"Black, non-Hispanic","Female",1,0.895
"2338","Yes","Trump",0,70,50,50,4,99,1,2,7,99,4,6,4,1,2,1,4,1,2,18,100,99,51,1,51,32,51,1,69,41,41,61,0,99,51,51,96,2,31,1,1,1,0,1,-1,0,0,-1,1,46,10,"White, non-Hispanic","Male",22,0.967
"2339","Yes","Trump",40,70,50,50,NA,1,4,4,99,2,4,4,4,1,4,4,7,2,3,20,60,30,48,60,80,60,50,50,50,60,50,60,60,40,60,50,80,60,70,30,1,1,1,1,-1,1,1,1,0,27,12,"White, non-Hispanic","Male",19,0.726
"2340","Yes","Clinton",78,1,71,17,4,99,6,4,1,99,4,4,2,2,2,4,4,4,4,77,16,51,31,50,50,78,40,51,51,7,51,51,42,92,84,39,70,0,51,51,1,1,0,1,0,1,0,0,1,37,11,"Black, non-Hispanic","Female",17,1.07
"2341","Yes","Clinton",85,15,100,85,NA,4,5,1,4,4,4,4,4,4,4,4,4,4,2,50,60,15,15,30,85,100,70,60,70,0,70,50,15,50,0,50,100,0,85,30,-1,-1,0,0,-1,-1,-1,0,0,49,9,"Asian, native Hawaiian or other Pacif Islr,non-Hispanic","Female",1,0.895
"2342","Yes","Clinton",0,0,0,0,NA,6,4,4,1,2,5,5,1,6,1,5,4,2,5,18,0,70,85,33,64,67,64,89,77,98,46,58,74,53,56,79,82,85,73,73,0,-1,1,0,-1,1,1,-1,1,19,10,"Hispanic","Male",1,2.247
"2343","Yes","Clinton",85,50,15,15,NA,6,4,7,3,4,7,4,2,1,1,4,4,4,2,60,0,61,70,51,71,85,70,60,61,52,63,61,61,72,85,52,71,51,72,71,1,1,1,1,1,1,1,1,1,67,11,"Black, non-Hispanic","Female",12,1.193
"2344","No",NA,2,9,0,0,4,3,7,7,5,1,6,5,1,1,1,3,3,1,2,0,60,15,100,70,94,100,35,87,70,100,70,40,100,30,100,60,60,60,100,97,1,1,1,1,-1,1,1,1,0,39,9,"Hispanic","Male",20,1.734
"2345",NA,NA,0,85,15,60,6,5,1,2,4,4,1,7,7,5,2,1,7,2,6,0,85,50,18,1,60,50,85,85,40,50,60,50,0,70,100,50,60,50,50,0,1,-1,1,1,-1,0,-1,-1,0,59,13,"White, non-Hispanic","Female",20,0.314
"2346","No",NA,32,60,52,50,4,5,1,2,5,4,2,7,2,6,1,5,1,2,1,16,62,0,1,1,1,60,59,50,61,0,50,32,1,50,1,0,50,1,85,51,1,0,0,1,1,0,1,1,0,60,14,"Asian, native Hawaiian or other Pacif Islr,non-Hispanic","Male",25,0.594
"2347","Yes","Clinton",98,5,100,16,2,3,7,4,3,2,4,5,2,3,1,7,2,1,2,86,15,36,60,81,83,85,16,36,29,51,53,17,33,100,84,18,100,47,83,43,1,1,1,0,0,0,1,1,1,57,12,"Hispanic","Male",22,0.977
"2348","Yes","Clinton",60,30,70,40,4,5,6,6,6,2,7,6,1,6,2,1,2,1,4,30,15,50,50,60,70,70,60,40,60,50,15,60,60,85,85,50,85,50,85,30,0,1,1,1,-1,1,0,1,1,47,13,"White, non-Hispanic","Male",23,0.873
"2349",NA,NA,30,15,18,20,NA,99,4,6,6,3,4,4,2,2,1,2,4,2,4,25,25,40,59,50,50,50,40,50,50,60,43,40,50,40,50,50,40,70,70,40,0,1,1,0,-1,0,0,1,0,31,10,"White, non-Hispanic","Male",7,0.814
"2350","No",NA,15,60,0,85,6,7,4,5,6,6,3,4,6,1,4,2,3,4,7,20,90,15,12,5,45,60,70,95,60,40,75,70,20,75,70,75,75,30,55,10,-1,1,-1,0,-1,-1,-1,-1,1,23,10,"White, non-Hispanic","Female",22,1.449
"2351",NA,NA,85,15,100,40,3,6,1,4,5,5,5,7,4,4,2,4,4,4,4,70,30,60,40,70,60,30,30,40,55,10,30,40,20,55,55,40,65,30,35,40,1,0,1,1,0,0,0,1,1,71,10,"White, non-Hispanic","Male",2,0.441
