idnumber,CNweight,current_democracy,previous_democracy,future_democracy,democracy_fit,national_interest,family_interest,year_schooling,region,gender,education,education_num,occupation,age,vote,election_freefair,secure_feeling,pol_interest,pol_news,internet_use,pol_discuss,contact_highest,contact_high_official,contact_com_leader,contact_influent_non_official,contact_media,oi_gov_resp_voters,oi_gov_employee,oi_media_freedom,oi_individualism,oi_election_necc,oi_multiparty,trust_court,trust_nat_gov,trust_party,trust_local_gov,local_part,petition,protest,regime_capability,system_proud,qg_people_power,qg_equality,qg_speech_freedom,qg_gathering_freedom,qg_responsiveness,local_corruption,defend_system,current_china_influence,future_china_influence
1952,0.856105462941635,10,7,10,9,3,3,5,rural,Male,Complete primary/elementary,3,Working in family business,57,Yes,5,3,2,3,0,1,0,0,0,0,0,1,-1,-1,-1,-1,-1,3,3,3,3,0,0,0,3,3,3,3,3,3,3,3,3,0,1
1954,1.19766807347271,NA,NA,NA,NA,3,3,6,rural,Female,Complete primary/elementary,3,Peasant/farmer,38,Not applicable,NA,3,1,0,0,0,0,0,0,0,0,1,1,NA,1,NA,NA,4,4,4,4,0,0,0,NA,NA,3,NA,3,3,3,NA,NA,NA,NA
1955,0.7872015315258817,10,8,10,8,3,3,9,rural,Male,Incomplete secondary/high school: technical/vocational type,4,Peasant/farmer,46,Yes,4,3,3,4,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,3,4,4,3,0,0,0,3,3,3,3,3,2,3,2,3,1,1
1956,0.7872015315258817,10,7,10,7,3,3,8,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,42,Yes,2,3,3,3,0,1,0,0,0,0,0,-1,-1,1,1,1,-1,NA,4,4,4,0,0,0,3,3,3,3,3,2,3,2,3,1,1
1957,0.7872015315258817,8,4,8,3,3,3,9,rural,Male,Complete secondary/high school: technical/vocational type,5,Working in family business,48,Yes,4,3,2,3,3,1,0,1,1,1,0,-1,-1,-1,-1,-1,-1,2,4,4,2,0,0,0,2,2,2,2,3,2,4,4,3,1,1
1958,0.856105462941635,9,7,10,10,3,3,7,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,50,Yes,4,3,2,3,0,1,0,0,0,0,0,-1,-1,1,-1,NA,-1,3,4,4,3,0,0,0,3,3,3,3,3,2,4,NA,2,1,1
1959,0.8788030177036141,NA,NA,NA,NA,3,3,6,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,41,No,NA,3,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,4,NA,0,0,0,NA,NA,3,3,3,3,NA,NA,3,NA,NA
1960,0.7907724910902311,9,8,10,10,3,3,11,rural,Male,Complete secondary/high school,7,Peasant/farmer,70,Yes,2,3,2,4,0,0,0,2,0,0,0,-1,-1,1,-1,1,-1,4,4,4,2,0,0,0,3,3,3,3,3,2,3,3,2,1,1
1961,0.7907724910902311,10,7,10,10,3,3,3,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,62,Yes,5,3,1,3,0,0,0,0,0,0,0,1,-1,-1,NA,-1,-1,4,4,4,3,0,0,0,3,3,3,3,3,3,4,2,3,NA,NA
1962,0.856105462941635,10,7,10,10,4,3,10,rural,Male,Complete secondary/high school,7,Peasant/farmer,59,Yes,NA,3,3,1,0,1,0,0,0,0,0,1,1,-1,1,1,-1,3,4,4,1,0,0,0,3,3,3,3,3,NA,3,4,3,0,NA
1963,0.7907724910902311,NA,7,10,6,3,3,2,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,66,Yes,2,2,1,4,0,0,0,1,0,0,0,1,1,NA,1,-1,NA,4,4,4,1,1,0,0,NA,NA,3,2,3,2,3,4,NA,1,1
1964,0.7872015315258817,NA,3,NA,5,3,3,8,rural,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,45,Yes,3,3,3,2,0,1,0,1,0,2,0,-1,NA,-1,1,-1,-1,3,NA,NA,2,1,0,0,3,3,3,2,3,3,3,3,3,1,1
1965,1.19766807347271,NA,NA,NA,NA,3,3,3,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,36,Yes,5,3,1,0,0,0,0,0,0,0,0,NA,NA,NA,1,NA,NA,4,4,4,4,0,0,0,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA
1966,0.9557248483083305,NA,NA,NA,NA,NA,NA,5,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,50,Yes,5,3,1,1,0,0,0,0,0,0,0,NA,NA,NA,-1,NA,NA,4,4,4,4,0,0,0,NA,NA,3,3,3,3,NA,NA,NA,1,NA
1967,1.1343538453772095,NA,NA,5,5,3,3,9,urban,Female,Complete secondary/high school: technical/vocational type,5,Working in family business,26,Not applicable,NA,3,1,2,1,0,0,2,1,1,0,-1,-1,-1,1,NA,-1,NA,NA,NA,1,0,0,0,3,3,3,3,NA,3,3,NA,3,NA,NA
1968,1.19766807347271,NA,NA,NA,NA,3,3,9,rural,Female,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,35,Yes,5,3,1,0,0,0,0,1,0,0,0,1,-1,NA,1,1,-1,3,4,4,3,0,0,0,NA,NA,3,3,3,NA,3,2,3,0,1
1969,0.856105462941635,10,10,10,10,3,3,7,rural,Male,Complete secondary/high school,7,Peasant/farmer,58,Yes,5,3,3,4,0,1,2,2,0,2,0,1,-1,-1,1,2,-1,4,4,4,4,0,0,0,3,3,3,2,3,2,3,2,2,0,1
1970,0.7872015315258817,8,2,10,7,2,3,8,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,49,Yes,3,3,3,3,0,1,0,0,0,0,0,1,1,1,1,NA,-1,3,4,4,3,0,0,0,3,3,3,3,3,2,3,2,2,1,1
1971,0.856105462941635,9,4,10,6,3,3,7,rural,Male,Complete secondary/high school: technical/vocational type,5,Working in family business,55,Yes,2,4,3,2,0,2,0,0,0,0,0,1,-1,-1,-1,-1,-1,4,4,4,1,0,0,0,3,3,3,3,3,2,3,3,3,0,1
1972,1.0161151775589086,10,8,10,8,3,3,14,urban,Male,University education completed,9,Working for an outside employer,25,Not applicable,NA,3,2,4,5,1,0,0,0,0,0,1,1,1,-1,1,-1,4,4,4,4,0,0,0,3,3,3,3,3,3,4,1,3,1,1
1973,0.9325842772055855,NA,NA,NA,NA,3,3,2,urban,Female,Incomplete primary/elementary,2,Not employed,75,Not applicable,NA,3,1,0,0,0,0,0,0,0,0,NA,NA,NA,-1,NA,NA,NA,4,4,4,0,0,0,NA,NA,3,3,3,3,NA,NA,3,NA,NA
1974,0.8353769348807448,9,6,9,6,3,3,9,urban,Male,Complete secondary/high school,7,Not employed,63,Not applicable,NA,3,2,4,0,1,0,2,0,0,0,-1,-1,-1,-1,-1,-1,3,4,4,1,1,0,0,3,2,3,3,3,3,3,4,3,0,1
1975,1.1333441062900562,NA,7,10,4,3,3,12,urban,Male,Complete secondary/high school,7,Working for an outside employer,38,Not applicable,NA,3,3,4,0,0,0,0,0,0,0,-1,1,1,1,1,1,4,4,4,3,2,0,0,3,NA,3,3,3,2,3,4,3,0,0
1976,1.1343538453772095,5,4,6,4,2,3,15,urban,Female,University education completed,9,Not employed,24,Not applicable,NA,2,3,4,4,1,0,0,0,0,0,-1,1,-1,1,1,-1,3,4,3,3,0,0,0,3,3,2,3,2,2,3,3,3,0,1
1977,0.9325842772055855,9,8,10,9,3,3,9,urban,Female,Complete secondary/high school: technical/vocational type,5,Not employed,69,Not applicable,NA,3,1,0,0,0,0,0,0,0,0,1,NA,-1,-1,1,-1,NA,4,4,4,0,0,0,NA,NA,3,3,3,NA,3,NA,NA,1,1
1978,1.1343538453772095,3,7,9,4,2,4,16,urban,Female,University education completed,9,Not employed,26,Not applicable,NA,3,2,3,5,1,0,0,1,0,0,1,2,2,-2,2,2,3,2,1,3,0,0,0,2,2,4,1,1,1,2,4,2,0,0
1979,0.8353769348807448,9,8,9,7,3,3,6,urban,Male,Complete primary/elementary,3,Not employed,74,Not applicable,NA,3,3,3,0,0,0,1,0,0,0,-1,-1,-1,1,-1,-1,3,4,4,3,0,0,0,3,3,3,3,3,3,3,2,3,1,1
1980,0.8316045511811848,10,8,10,10,3,3,8,urban,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,45,Not applicable,NA,3,2,2,1,0,0,0,0,0,0,NA,NA,-1,-1,1,NA,3,4,4,3,0,0,0,3,3,3,3,3,3,3,3,3,1,1
1981,1.1343538453772095,9,9,9,NA,3,3,9,urban,Female,Complete secondary/high school: technical/vocational type,5,Not employed,28,Not applicable,NA,3,2,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,4,4,4,4,0,0,0,3,3,3,3,3,3,3,1,3,1,NA
1982,0.8353769348807448,9,6,9,9,2,3,10,urban,Male,Complete secondary/high school,7,Not employed,62,Not applicable,NA,3,4,4,0,0,0,0,0,0,0,-1,1,-1,-1,1,1,3,4,4,1,0,0,0,2,2,3,3,3,2,3,4,3,0,0
1983,1.0161151775589086,10,9,10,8,3,3,9,urban,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,28,Not applicable,NA,3,2,2,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,3,4,4,3,0,0,0,3,3,3,3,3,3,3,2,3,1,1
1984,1.1333441062900562,10,8,10,8,3,3,9,urban,Male,Complete secondary/high school: technical/vocational type,5,Working in family business,35,Not applicable,NA,3,2,3,4,1,0,0,0,0,0,-1,1,-1,-1,1,-1,3,3,3,3,0,0,0,3,3,3,3,3,2,3,3,3,1,1
1985,0.9325842772055855,NA,NA,NA,NA,3,3,3,urban,Female,Incomplete primary/elementary,2,Peasant/farmer,66,Not applicable,NA,3,1,0,0,0,0,0,0,0,0,-1,-1,NA,1,NA,NA,4,4,4,4,0,0,0,NA,NA,3,3,3,NA,4,NA,NA,NA,NA
1999,1.0096336220149031,10,6,10,NA,2,3,0,urban,Female,Incomplete primary/elementary,2,Working for an outside employer,54,Yes,3,3,1,1,0,0,0,0,0,0,0,-1,-1,-1,1,-1,-1,4,4,4,3,0,0,0,3,3,NA,3,NA,NA,3,3,3,NA,NA
2e3,0.9557248483083305,NA,NA,NA,NA,3,3,8,rural,Female,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,56,Not applicable,NA,3,3,3,0,1,0,0,0,0,0,-1,-1,-1,1,1,-1,4,4,4,4,0,0,0,3,3,3,2,3,3,3,NA,3,NA,NA
2001,1.0737857111350257,9,6,10,7,2,2,12,rural,Female,Complete secondary/high school,7,Not employed,21,No,5,2,2,4,5,1,0,0,0,0,0,1,1,2,2,1,-1,2,3,3,2,0,0,0,3,3,3,2,2,2,3,4,2,1,1
2002,1.0161151775589086,10,6,10,8,2,3,12,urban,Male,Complete secondary/high school,7,Not employed,20,Not applicable,NA,3,2,1,3,0,0,1,0,0,1,1,-1,-1,1,1,1,3,3,4,3,0,1,0,3,3,2,2,3,3,3,2,4,1,1
2003,1.0096336220149031,9,9,9,7,4,4,7,urban,Female,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,57,No,5,3,3,4,0,1,0,0,0,0,0,NA,2,-2,-2,2,-1,3,4,4,3,0,0,0,3,3,3,2,1,1,3,2,3,NA,NA
2004,0.8353769348807448,10,8,10,10,2,3,5,urban,Male,Complete primary/elementary,3,Not employed,70,NA,4,3,3,3,0,0,0,0,0,0,0,1,1,-1,1,-1,-1,3,4,4,3,0,0,0,3,3,NA,2,2,2,4,NA,3,1,1
2005,0.9325842772055855,8,4,8,4,2,3,6,urban,Female,Complete primary/elementary,3,Not employed,63,No,2,4,3,3,0,0,0,1,0,0,0,1,1,1,1,1,1,2,4,3,2,0,0,0,2,2,3,2,3,3,2,3,3,1,1
2006,0.8353769348807448,6,6,9,7,4,4,10,urban,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,60,Yes,4,3,3,4,0,0,0,2,0,0,0,2,-2,1,1,1,2,3,4,4,3,0,0,0,3,4,3,3,3,3,3,2,3,1,1
2007,0.8316045511811848,NA,NA,NA,7,4,4,9,urban,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,45,Not applicable,NA,2,3,0,0,0,0,0,0,0,0,2,2,2,2,1,NA,3,4,4,2,0,0,0,NA,NA,3,2,3,3,3,2,2,NA,NA
2008,0.9043950891372622,9,7,9,8,4,4,11,urban,Male,Complete secondary/high school,7,Working for an outside employer,57,Not applicable,NA,3,3,4,0,0,0,0,0,0,0,2,2,2,2,2,-2,3,4,4,3,0,0,0,3,4,4,4,4,3,3,2,4,NA,NA
2009,1.265223936713798,6,8,8,7,2,2,6,urban,Female,Complete primary/elementary,3,Working in family business,38,Not applicable,NA,2,3,2,1,2,2,2,1,2,0,2,2,1,-1,2,-2,4,4,4,2,0,2,0,3,2,2,2,1,1,1,4,3,NA,NA
2010,0.8316045511811848,10,10,10,10,4,3,15,urban,Male,Complete secondary/high school,7,Not employed,49,NA,5,4,2,4,5,0,0,1,0,0,0,-1,-1,-1,1,1,-1,3,4,4,4,0,0,0,4,4,3,3,3,3,3,2,3,1,1
2011,0.8353769348807448,10,5,10,9,3,3,7,urban,Male,Incomplete secondary/high school: technical/vocational type,4,Peasant/farmer,62,Yes,5,3,3,3,0,0,0,0,0,0,0,-1,-1,1,1,1,-2,4,4,4,4,0,0,0,3,3,3,3,3,2,4,2,2,1,1
2012,1.1333441062900562,10,9,10,9,3,3,9,urban,Male,Complete secondary/high school: technical/vocational type,5,Working in family business,39,Not applicable,NA,3,3,2,1,2,0,0,0,0,0,-2,1,-1,1,-1,-1,3,3,4,3,0,0,0,3,3,2,3,2,2,3,2,3,1,1
2013,1.1343538453772095,8,6,10,8,1,3,6,urban,Female,Complete primary/elementary,3,Not employed,20,Not applicable,NA,3,1,0,0,0,0,0,0,0,0,1,-1,-2,2,1,-1,4,4,4,NA,0,0,0,3,3,NA,3,NA,NA,3,3,3,NA,NA
2014,0.8353769348807448,9,9,9,7,2,2,12,urban,Male,Complete secondary/high school,7,Not employed,62,Not applicable,NA,2,3,3,0,1,0,2,0,0,0,2,2,NA,2,2,-2,3,4,4,3,0,0,0,4,4,3,3,2,2,3,3,NA,NA,NA
2015,0.7872015315258817,6,8,9,7,3,4,5,rural,Male,Complete primary/elementary,3,Peasant/farmer,44,Not applicable,NA,4,3,4,0,0,0,0,0,0,0,2,-2,2,2,2,-2,3,4,4,3,0,0,0,4,4,4,3,3,3,4,3,3,0,0
2016,1.0161151775589086,6,5,8,5,2,3,13,urban,Male,University education completed,9,Not employed,20,Not applicable,NA,3,3,4,4,1,0,0,1,0,0,-1,1,-1,-1,1,1,2,3,3,2,0,0,0,2,2,3,1,1,2,2,3,3,0,0
2017,0.9618603251328185,NA,9,9,6,4,4,10,rural,Male,Incomplete secondary/high school,6,Peasant/farmer,21,No,2,4,1,4,4,0,0,0,0,0,0,2,2,1,1,2,-2,4,4,4,NA,0,0,0,2,3,3,4,1,1,3,3,2,0,1
2018,1.0728298864528265,8,5,10,10,3,2,7,rural,Male,Incomplete secondary/high school: technical/vocational type,4,Peasant/farmer,39,Not applicable,NA,3,1,3,0,0,0,2,0,2,0,2,2,1,1,2,2,3,4,4,1,0,2,0,4,4,4,1,2,2,2,4,3,1,1
2019,0.8788030177036141,NA,NA,NA,6,3,3,6,rural,Female,Incomplete secondary/high school: technical/vocational type,4,Peasant/farmer,46,Not applicable,NA,4,2,3,0,0,0,2,0,0,0,-2,1,2,2,2,-1,3,4,4,3,0,0,0,NA,3,3,3,3,3,3,NA,3,NA,NA
2020,1.19766807347271,8,NA,NA,5,3,3,10,rural,Female,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,35,No,5,1,3,4,4,1,0,0,0,0,0,2,2,2,2,2,-1,3,4,4,2,0,0,0,NA,3,2,2,3,3,3,3,3,0,NA
2021,0.9557248483083305,8,7,9,9,4,3,9,rural,Female,Complete secondary/high school,7,Working for an outside employer,50,Not applicable,NA,3,1,3,0,0,0,0,0,0,0,1,-1,2,2,-1,-1,3,4,4,3,0,0,0,4,4,4,2,3,3,4,1,4,0,0
2023,1.0737857111350257,10,6,10,6,3,3,9,rural,Female,Complete secondary/high school: technical/vocational type,5,Not employed,29,Not applicable,NA,2,2,3,1,1,0,0,0,0,0,1,-1,-2,2,-1,-1,3,4,4,3,0,0,0,3,3,3,2,3,3,3,2,3,0,1
2024,0.7907724910902311,8,6,10,5,3,3,5,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,65,Not applicable,NA,3,3,1,0,0,0,0,0,0,0,-1,-1,-2,2,-1,-1,4,4,4,3,0,0,0,3,3,3,3,3,2,3,2,3,1,1
2025,1.0728298864528265,8,7,9,NA,3,4,8,rural,Male,Complete secondary/high school: technical/vocational type,5,Not applicable,38,Yes,NA,4,1,3,0,1,0,0,0,0,0,-1,1,2,2,2,-2,3,4,4,3,0,0,0,3,3,3,2,2,2,3,3,NA,NA,NA
2026,0.856105462941635,10,5,10,9,3,3,9,rural,Male,Complete secondary/high school,7,Working in family business,50,Not applicable,NA,4,3,1,0,1,0,0,0,0,0,-1,-1,-1,-1,1,-2,4,4,4,4,0,0,0,3,3,3,3,3,3,3,2,3,1,1
2027,1.0737857111350257,7,4,10,5,3,3,13,rural,Female,Complete secondary/high school,7,Not employed,21,Not applicable,NA,3,2,0,2,0,0,0,0,0,0,1,-1,-1,1,-1,-1,4,4,4,3,0,0,0,3,3,3,3,2,2,3,2,3,1,1
2028,0.7872015315258817,NA,NA,NA,9,4,4,8,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,47,Not applicable,NA,4,4,3,0,0,0,2,0,0,0,2,1,-2,2,-2,-2,NA,4,4,3,0,0,0,1,3,1,3,1,1,4,NA,3,0,1
2029,0.7872015315258817,9,5,10,8,3,3,9,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,47,Not applicable,NA,3,3,3,0,1,0,1,0,0,0,-1,-1,-2,2,-1,-2,3,4,4,3,0,0,0,2,3,2,3,2,2,3,3,3,0,1
2030,0.8788030177036141,NA,NA,NA,NA,3,3,0,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,41,Not applicable,NA,3,4,1,0,1,0,0,0,0,0,-2,-1,-2,2,1,-1,3,3,4,4,0,0,0,3,3,3,3,3,1,3,2,3,NA,NA
2031,0.7907724910902311,9,7,10,9,3,3,4,rural,Male,Incomplete primary/elementary,2,Working in family business,63,Not applicable,NA,3,2,3,0,1,0,0,0,0,0,-1,-1,-2,2,-1,-1,4,4,4,3,0,0,0,3,3,3,3,3,3,3,2,3,1,1
2032,1.0728298864528265,9,6,10,8,3,3,6,rural,Male,Complete primary/elementary,3,Working for an outside employer,35,Not applicable,NA,3,3,2,0,1,0,0,0,0,0,-1,1,-2,2,-1,-2,3,4,4,3,0,0,0,3,3,3,2,3,2,3,2,3,1,1
2033,0.8788030177036141,9,6,10,10,3,3,2,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,43,Not applicable,NA,4,2,2,0,1,0,0,0,0,0,-1,-1,-2,2,-1,-2,4,4,4,3,0,0,0,3,3,3,3,3,NA,3,2,3,1,1
2034,0.8788030177036141,NA,NA,NA,NA,3,3,3,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,43,Not applicable,NA,3,2,3,0,1,0,0,0,0,0,-1,-1,-1,1,-1,-1,3,4,4,3,0,0,0,3,3,3,3,2,3,3,2,3,NA,NA
2035,0.8788030177036141,NA,NA,NA,NA,3,3,1,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,47,Not applicable,NA,3,2,1,0,1,0,0,0,0,0,-1,-1,-2,2,-2,-2,3,3,3,NA,0,0,0,3,3,3,3,3,3,3,3,3,NA,NA
2036,0.8788030177036141,10,8,10,10,2,4,4,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,41,Not applicable,NA,4,1,3,0,1,0,2,0,0,0,2,1,-2,2,-1,-2,3,4,4,3,0,0,0,3,4,4,4,1,1,3,2,3,NA,NA
2037,0.856105462941635,9,5,10,10,3,3,9,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,52,Not applicable,NA,4,2,4,0,1,0,2,0,0,0,-1,1,-2,2,1,-1,4,4,4,3,0,0,0,3,3,3,3,3,2,3,2,3,0,0
2038,0.8827895064432449,NA,NA,NA,NA,NA,NA,2,rural,Female,Complete primary/elementary,3,Working for an outside employer,65,Not applicable,NA,3,1,4,0,0,0,0,0,0,0,1,2,2,2,2,-2,4,4,4,4,0,0,0,NA,NA,3,3,2,2,4,2,3,NA,NA
2039,0.9557248483083305,10,9,10,NA,3,3,0,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,52,Not applicable,NA,3,1,2,0,0,0,0,0,0,0,NA,NA,NA,2,NA,-2,4,4,4,3,0,0,0,NA,4,3,3,NA,NA,4,2,3,NA,NA
2040,0.9618603251328185,7,6,9,8,4,3,12,rural,Male,University education completed,9,Not employed,19,Not applicable,NA,4,1,3,5,1,0,0,0,0,0,2,1,1,1,1,1,3,3,4,3,0,0,0,3,3,2,2,2,3,3,2,3,0,1
2041,0.8788030177036141,8,4,9,5,2,3,4,rural,Female,Complete secondary/high school: technical/vocational type,5,Not employed,46,Not applicable,NA,3,3,4,3,1,0,0,0,0,0,-1,1,1,1,1,-1,3,3,3,3,0,0,0,3,3,2,2,2,2,3,3,3,0,1
2042,1.0728298864528265,10,6,10,8,3,3,8,rural,Male,Incomplete secondary/high school: technical/vocational type,4,Working in family business,34,Not applicable,NA,4,1,1,0,0,0,0,0,0,0,2,-1,2,2,1,NA,4,4,4,3,0,0,0,3,3,4,3,2,2,4,NA,2,1,NA
2043,1.0737857111350257,8,6,9,7,3,3,14,rural,Female,University education completed,9,Not employed,22,Not applicable,NA,3,2,3,3,1,0,0,0,0,0,1,-1,-1,1,1,1,4,4,4,3,0,0,0,3,3,3,3,2,2,3,3,2,0,1
2044,0.8827895064432449,NA,NA,NA,NA,3,3,0,rural,Female,Incomplete primary/elementary,2,Not employed,70,Not applicable,NA,4,1,2,0,0,0,0,0,0,0,2,2,2,2,2,NA,4,4,4,4,0,0,0,NA,NA,3,3,NA,NA,4,NA,4,NA,NA
2045,0.9618603251328185,7,6,8,8,2,3,14,rural,Male,Complete secondary/high school,7,Peasant/farmer,25,Not applicable,NA,3,2,3,1,1,0,0,0,0,0,1,2,2,2,1,-1,3,4,4,3,0,0,0,3,3,3,2,2,2,3,3,3,0,1
2046,0.8788030177036141,NA,NA,NA,7,3,3,3,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,43,Not applicable,NA,3,2,3,0,1,0,1,0,0,0,-1,-2,1,1,-1,-1,3,4,4,3,0,0,0,4,4,3,4,2,3,3,2,4,1,1
2047,0.9618603251328185,9,7,10,8,3,3,9,rural,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,24,Not applicable,NA,3,2,3,5,1,0,0,0,0,0,-1,1,-2,2,-1,-2,3,4,4,3,0,0,0,3,3,3,3,2,2,3,3,3,1,1
2048,0.7907724910902311,9,7,10,9,4,3,4,rural,Male,Complete primary/elementary,3,Working in family business,63,Not applicable,NA,3,3,3,0,1,0,0,0,0,0,-1,-1,-1,1,-2,-2,4,4,4,3,0,0,0,4,4,3,4,3,3,3,2,NA,1,1
2049,1.19766807347271,8,5,10,8,3,3,6,rural,Female,Complete primary/elementary,3,Peasant/farmer,39,Not applicable,NA,4,2,2,0,1,0,0,0,0,0,2,2,2,2,2,-2,4,4,4,3,0,0,0,NA,3,3,3,3,2,3,2,3,1,1
2050,0.9618603251328185,7,6,NA,7,4,3,9,rural,Male,Post-graduate degree,10,Not employed,22,Not applicable,NA,1,1,2,0,0,0,0,0,1,0,1,1,-1,1,-2,-2,3,3,4,4,0,0,0,2,2,2,3,2,2,4,2,3,NA,NA
2051,0.7872015315258817,5,8,NA,4,3,3,9,rural,Male,Incomplete secondary/high school,6,Not applicable,48,Not applicable,NA,2,2,2,0,0,0,0,0,0,0,2,2,-2,2,-1,-2,3,4,4,3,0,0,0,NA,3,3,2,2,2,2,3,3,NA,NA
2052,0.7872015315258817,9,9,10,7,3,3,7,rural,Male,Complete primary/elementary,3,Working for an outside employer,48,Not applicable,NA,3,2,2,0,1,0,0,0,0,0,-1,1,-1,1,1,-2,3,3,4,3,0,0,0,3,3,3,3,3,3,3,2,3,0,0
2053,0.7872015315258817,9,6,10,8,3,4,6,rural,Male,Complete primary/elementary,3,Peasant/farmer,47,Not applicable,NA,3,3,3,0,1,0,0,0,0,0,-1,1,-2,2,-1,-2,3,4,4,3,0,0,0,4,3,4,3,3,3,3,3,3,1,1
2054,1.19766807347271,NA,NA,NA,NA,3,3,6,rural,Female,Complete primary/elementary,3,Peasant/farmer,36,Not applicable,NA,3,2,2,0,1,0,0,0,0,0,-1,-1,-2,2,1,-2,3,4,4,4,0,0,0,NA,NA,3,3,3,3,3,2,3,NA,NA
2055,1.0728298864528265,10,9,10,9,3,4,9,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,39,Not applicable,NA,3,3,3,1,2,0,0,0,0,0,2,1,-2,2,-1,-2,3,3,4,3,0,0,0,3,4,2,3,1,1,3,2,3,1,1
2056,0.9283729259234262,7,4,8,5,2,4,8,urban,Female,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,40,Not applicable,NA,3,2,4,1,1,0,0,0,0,0,-1,2,2,-2,-1,-2,3,4,3,3,0,0,0,2,3,4,2,2,2,3,3,3,1,1
2057,0.8316045511811848,5,5,NA,6,2,3,14,urban,Male,University education completed,9,Working for an outside employer,47,Not applicable,NA,3,4,4,5,1,0,1,0,0,0,NA,NA,NA,-1,-1,-1,3,3,3,3,1,0,0,2,2,3,2,3,2,3,3,3,0,0
2058,0.8353769348807448,9,8,10,8,4,4,5,urban,Male,Complete primary/elementary,3,Not employed,69,Not applicable,NA,4,2,3,0,1,0,0,0,0,0,-1,1,-1,1,-1,-1,3,4,4,3,0,0,0,3,3,3,3,3,2,3,2,3,1,1
2059,0.8316045511811848,5,4,8,5,3,4,15,urban,Male,University education completed,9,Working for an outside employer,47,Not applicable,NA,3,3,4,5,0,0,2,0,1,0,1,1,2,-2,-1,NA,3,3,3,3,0,0,0,3,3,3,2,2,2,3,3,3,1,1
2060,1.1343538453772095,8,2,8,7,3,3,17,urban,Female,Post-graduate degree,10,Not employed,26,Not applicable,NA,3,3,4,5,1,0,2,2,2,0,-2,2,-1,-1,1,-1,3,3,3,3,0,0,0,2,2,3,1,1,1,3,4,2,1,1
2061,0.9325842772055855,9,6,10,6,3,3,14,urban,Female,University education completed,9,Not employed,62,Not applicable,NA,2,4,4,5,2,0,1,0,1,0,1,1,-2,2,-1,-2,3,4,4,4,0,0,0,3,3,3,3,3,2,3,NA,3,1,1
2062,1.1333441062900562,10,8,10,5,3,4,19,urban,Male,Post-graduate degree,10,Working for an outside employer,32,Not applicable,NA,3,3,4,5,2,0,1,2,2,0,2,1,2,-2,1,2,3,2,1,2,0,0,0,2,2,2,2,3,2,2,4,3,1,0
2063,1.0096336220149031,8,5,9,8,2,3,16,urban,Female,University education completed,9,Working for an outside employer,50,Not applicable,NA,2,3,4,4,1,0,0,1,1,0,-1,1,2,2,2,2,3,3,3,2,0,0,0,2,2,3,1,2,2,3,3,2,0,1
2064,0.8353769348807448,9,8,10,10,3,3,14,urban,Male,University education completed,9,Not employed,64,Not applicable,NA,3,3,2,1,2,0,0,0,0,0,-1,NA,-2,2,1,-2,3,4,4,4,0,0,0,3,3,2,3,3,3,4,2,3,1,1
2065,1.1333441062900562,10,7,10,4,3,3,20,urban,Male,Post-graduate degree,10,Working for an outside employer,31,Not applicable,NA,2,4,4,5,2,0,1,1,2,0,-1,-1,-1,-1,1,1,3,2,1,2,0,0,0,3,3,2,2,3,2,2,4,2,1,1
